#,Title,Label
78,Microsoft's underwater data centre resurfaces after two years,OBJECTIVITY
79,Excel: Why using Microsoft's tool caused Covid-19 results to be lost,OBJECTIVITY
80,Microsoft probed over aim to double black staff numbers,OBJECTIVITY
81,Microsoft files patent to record and score meetings on body language,OBJECTIVITY
82,CES 2021: Microsoft's Brad Smith slams SolarWinds 'indiscriminate assault',OBJECTIVITY
83,"Bill Gates: Bitcoin not for me, says ex-Microsoft chief",OBJECTIVITY
84,European Banking Authority hit by Microsoft Exchange hack,OBJECTIVITY
85,Microsoft email server hacks put Biden in a bind,OBJECTIVITY
86,Microsoft-led team retracts quantum 'breakthrough',OBJECTIVITY
87,Microsoft Mesh: Will it change how we collaborate?,ACTIVITY
88,"Microsoft hack: 3,000 UK email servers remain unsecured",ACTIVITY
89,Microsoft's Cortana silenced as Siri gets new voice,OBJECTIVITY
90,Met Office and Microsoft to build climate supercomputer,OBJECTIVITY
91,Microsoft president: Orwell’s 1984 could happen in 2024,OBJECTIVITY
92,Farewell (again) to Microsoft's Internet Explorer,OBJECTIVITY
93,"E3 2021: Microsoft shows off Halo Infinite, Starfield and Forza Horizon 5",OBJECTIVITY
94,Microsoft unveils Windows 11 operating system,ACTIVITY
95,Microsoft’s Windows 11 blue screen of death to become black,ACTIVITY
96,Microsoft fixes critical PrintNightmare bug,ACTIVITY
97,"Microsoft pays staff $1,500 for work in pandemic",ACTIVITY
98,"Microsoft announces Windows 365, a subscription cloud PC",OBJECTIVITY
99,Microsoft's passwordless plans lets users switch to app-based login,OBJECTIVITY
100,Microsoft says failed TikTok acquisition was 'strangest thing',ACTIVITY
101,Microsoft shutting down LinkedIn in China,OBJECTIVITY
102,Microsoft Teams adds 3D avatars as it lays out metaverse ambitions,OBJECTIVITY
103,Microsoft's Brad Smith outlines sustainability plans at COP26,ACTIVITY
104,Microsoft Edge buy now pay later scheme met with criticism,OBJECTIVITY
105,Microsoft Teams bug blocked Android emergency call,OBJECTIVITY
106,Microsoft stops selling products in Russia,OBJECTIVITY
107,Microsoft retires Internet Explorer after 27 years,OBJECTIVITY
108,Microsoft launches simulator to train drone AI systems,ACTIVITY
109,"Microsoft Activision deal could lessen competition, UK watchdog finds",OBJECTIVITY
110,Nintendo lands Call of Duty in 10-year Microsoft deal,ACTIVITY
111,"Microsoft to cut 10,000 jobs as spending slows",OBJECTIVITY
112,ChatGPT: Microsoft to invest billions in chatbot maker OpenAI,ACTIVITY
113,Microsoft says services have recovered after widespread outage,OBJECTIVITY
114,Microsoft deal to buy Activision opposed by UK regulator,ACTIVITY
115,Microsoft defends $69bn Activision deal,ACTIVITY
116,ChatGPT-style tech brought to Microsoft 365,ACTIVITY
117,Google reveals AI updates as it vies with Microsoft,OBJECTIVITY
118,UK further restricts Microsoft and Activision merge,ACTIVITY
119,Call of Duty battle over after Sony deal with Microsoft,ACTIVITY
120,Amazon takes on Microsoft as it invests billions in Anthropic,OBJECTIVITY
121,Amazon and Microsoft to face cloud computing competition probe,OBJECTIVITY
122,Microsoft Activision: What does deal mean for gamers?,ACTIVITY
123,Microsoft's new AI assistant can go to meetings for you,OBJECTIVITY
124,LinkedIn: Microsoft says 668 more jobs to go,OBJECTIVITY
125,Microsoft says Teams and Xbox fixed in UK and Europe,OBJECTIVITY
126,Microsoft offers to match pay of all OpenAI staff,OBJECTIVITY
127,"OpenAI chaos not about AI safety, says Microsoft boss",OBJECTIVITY
128,New York Times sues Microsoft and OpenAI for ‘billions’,ACTIVITY
129,Microsoft announces AI key on Windows 11 PCs,OBJECTIVITY
130,Microsoft denies it went back on its word on Activision job cuts,OBJECTIVITY
131,Elon Musk sues ChatGPT-maker OpenAI over Microsoft links,ACTIVITY
132,British AI pioneer Mustafa Suleyman joins Microsoft,OBJECTIVITY
